destination,activity,category
beach,spend time,beach_relax
beach,morning beach,beach_relax
beach,swimming,beach_swimming
beach,swim,beach_swimming
beach,sea swimming,beach_swimming
beach,water activity,beach_swimming
beach,swim at beach,beach_swimming
beach,ocean swim,beach_swimming
beach,beach swim,beach_swimming
beach,swimming session,beach_swimming
beach,go swimming,beach_swimming
beach,swim in sea,beach_swimming
beach,water sports,beach_swimming
beach,morning swim,beach_swimming
beach,picnic,beach_picnic
beach,beach picnic,beach_picnic
beach,family picnic,beach_picnic
beach,friends picnic,beach_picnic
beach,outdoor picnic,beach_picnic
beach,picnic lunch,beach_picnic
beach,picnic day,beach_picnic
beach,snack picnic,beach_picnic
beach,family outing,beach_picnic
beach,group picnic,beach_picnic
beach,picnic with friends,beach_picnic
beach,beach outing,beach_picnic
travel,trip,travel_trip
travel,journey,travel_trip
travel,road trip,travel_trip
travel,travel,travel_trip
travel,short trip,travel_trip
travel,tour,travel_trip
travel,travel day,travel_trip
travel,weekend trip,travel_trip
travel,solo trip,travel_trip
travel,group trip,travel_trip
travel,holiday trip,travel_trip
travel,local trip,travel_trip
travel,vacation,travel_vacation
travel,holiday,travel_vacation
travel,vacation trip,travel_vacation
travel,family vacation,travel_vacation
travel,summer vacation,travel_vacation
travel,tourist trip,travel_vacation
travel,holiday travel,travel_vacation
travel,vacation day,travel_vacation
travel,resort vacation,travel_vacation
travel,sightseeing,travel_vacation
travel,long vacation,travel_vacation
travel,leisure travel,travel_vacation
travel,business,travel_business
travel,business trip,travel_business
travel,work travel,travel_business
travel,official travel,travel_business
travel,business meeting,travel_business
travel,client visit,travel_business
travel,corporate trip,travel_business
travel,office travel,travel_business
travel,business tour,travel_business
travel,work trip,travel_business
travel,professional travel,travel_business
travel,company trip,travel_business
travel,family,travel_family
travel,family trip,travel_family
travel,family travel,travel_family
travel,visit family,travel_family
travel,family vacation,travel_family
travel,family outing,travel_family
travel,family journey,travel_family
travel,travel with family,travel_family
travel,family holiday,travel_family
travel,relatives visit,travel_family
travel,family tour,travel_family
travel,family function,travel_family
airport,flight,airport_flight
airport,airport travel,airport_flight
airport,boarding,airport_flight
airport,air travel,airport_flight
airport,catch flight,airport_flight
airport,international flight,airport_flight
airport,domestic flight,airport_flight
airport,airport visit,airport_flight
airport,flight journey,airport_flight
airport,boarding flight,airport_flight
airport,departure,airport_flight
airport,airplane travel,airport_flight
library,study,library_study
library,library study,library_study
library,research,library_study
library,read notes,library_study
library,academic research,library_study
library,study session,library_study
library,exam study,library_study
library,quiet study,library_study
library,reference study,library_study
library,library work,library_study
library,assignment research,library_study
library,learning session,library_study
library,reading,library_reading
library,read book,library_reading
library,book reading,library_reading
library,novel reading,library_reading
library,reference reading,library_reading
library,reading session,library_reading
library,library reading,library_reading
library,read quietly,library_reading
library,research reading,library_reading
library,textbook reading,library_reading
library,magazine reading,library_reading
library,leisure reading,library_reading
shopping,shopping,shopping
shopping,clothes shopping,shopping
shopping,mall shopping,shopping
shopping,buy clothes,shopping
shopping,shopping mall,shopping
shopping,general shopping,shopping
shopping,buy items,shopping
shopping,shopping trip,shopping
shopping,retail shopping,shopping
shopping,buy gifts,shopping
shopping,shopping day,shopping
shopping,market shopping,shopping
shopping,grocery,shopping_grocery
shopping,grocery shopping,shopping_grocery
shopping,buy groceries,shopping_grocery
shopping,supermarket,shopping_grocery
shopping,food shopping,shopping_grocery
shopping,monthly groceries,shopping_grocery
shopping,buy vegetables,shopping_grocery
shopping,buy food,shopping_grocery
shopping,kitchen shopping,shopping_grocery
shopping,household shopping,shopping_grocery
shopping,groceries list,shopping_grocery
shopping,daily groceries,shopping_grocery
interview,job,interview_job
interview,career,interview_job
interview,job interview,interview_job
interview,interview,interview_job
interview,employment interview,interview_job
interview,company interview,interview_job
interview,placement interview,interview_job
interview,campus interview,interview_job
interview,career meeting,interview_job
interview,recruitment,interview_job
interview,job selection,interview_job
interview,interview day,interview_job
